,function,1st result,2nd result,3rd result,1st link,2nd link,3rd link
61,semi_join,Collapse absolutePanel in shiny?,dplyr copy_to large data,Sparklyr copy_to fails,https://stackoverflow.com/questions/70465515/difference-between-data-and-cur-data?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/71135557/why-does-cur-data-within-summarize-return-df-slice-error?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/62529336/appropriate-times-to-use-cur-data-vs-across-in-dplyr-1-0?r=SearchResultsanswertab=votes#tab-top
62,anti_join,How does one specify a primary key when using dplyr copy_to()?,Create counter with multiple variables that restart within each subgroup,How to find clusters' markers in Seurat using FindMarkers function and ident.1 parameter in R,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackoverflow.com/questions/72202826/python-equivalent-of-group-by-mutate-using-cur-group-i-e-value-of-grouping?r=SearchResultsanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top
63,group_by,Removing duplicated observations in r with restriction,"Grouping functions (tapply, by, aggregate) and the *apply family",Explain a lazy evaluation quirk,https://stackoverflow.com/questions/64024505/how-do-i-restart-cur-group-id-in-r?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/64381861/grouping-is-not-recognized-by-dplyrmutate-cur-group-id?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/65180627/cur-group-id-by-size-rather-than-alphabetical-order?r=SearchResultsanswertab=votes#tab-top
64,ungroup,Explain this R regex,"How to use show_query? Returning ""no applicable method""","How to solve error ""no applicable method for 'show_query' applied to an object of class ""data.frame""""",https://stackoverflow.com/questions/13500463/r-regular-expression-near-words?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/49835355/near-zero-variance-variables?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/74055976/compare-dedup-function-cant-find-near-duplicates?r=SearchResultsanswertab=votes#tab-top
65,group_cols,how to change dbplyr's show_query() quote covention for snowflake SQL,Extract a dplyr tbl column as a vector,Applying slice() to a tbl,https://stackoverflow.com/questions/5237557/extract-every-nth-element-of-a-vector?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/28118583/how-do-i-access-the-nth-record-of-the-nth-column-of-the-nth-dataframe-in-a-list?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/11756353/replace-nth-line-in-a-text-file?r=SearchResultsanswertab=votes#tab-top
66,rowwise,Converting a column (of a dplyr tbl-object) into tbl-header,Searching functions using grep over multiple loaded packages in R,"How to join (merge) data frames (inner, outer, left, right)",https://stackoverflow.com/questions/1660124/how-to-sum-a-variable-by-group?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/29511215/convert-row-names-into-first-column?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/12675147/how-can-we-make-xkcd-style-graphs?r=SearchResultsanswertab=votes#tab-top
67,across,SQL Server RODBC Connection,sql temporary tables in rstudio notebook's sql chunks?,Cannot pass additional arguments to group_map,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top
68,if_any,"In purr 'group_map', how to keep group information in the result",Alternatives to group_map,dplyr::group_modify to apply function,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top
69,if_all,Using group_modify to apply function to grouped dataframe,Dplyr group_modify and anonymous functions,calling multiple functions within group_walk(),https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackoverflow.com/questions/49006519/recode-empty-string-with-dplyrrecode?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/44590935/recode-a-variable-using-data-table?r=SearchResultsanswertab=votes#tab-top
70,c_across,parallelise group_walk operation with multidplyr,Can I use group_map or group_walk to iteratively export results?,preserve dataframe name using dplyr group_split [duplicate],https://stackoverflow.com/questions/51459712/recode-variables?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/59937849/recode-factor-cannot-replace-missing-values?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/63413925/failure-to-recode-levels-of-a-factor-with-dplyr-mutate-and-recode-factor?r=SearchResultsanswertab=votes#tab-top
71,between,Using group_split on list of lists in R,output of group_split needs to be saved as separate dataframe,How to create a line plot with groups in Base R without loops?,https://stackoverflow.com/questions/60992803/why-does-recode-factor-not-allow-to-drop-levels?r=SearchResultsanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top
72,case_when,Can I silence these two ggplot outputs? [duplicate],Counting Distinct Values By Two Groups and Summarise Error,ddply stops with warning Error in str2lang(x) : <text>:2:0: unexpected end of input,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackoverflow.com/questions/57210992/r-interpolate-lookup-a-column-from-a-rating-table?r=SearchResultsanswertab=votes#tab-top
73,coalesce,Moving files between folders,how to parse local HTML table using R,Subset dataframe and batch process through existing stringdist function in parallel in R,https://stackoverflow.com/questions/50231159/process-list-of-strings-from-r-to-c?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/67138925/iterating-effect-size-calculations-through-columns?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/72617148/r-how-to-use-a-function-varaible-to-refernce-an-object-for-a-left-join-in-r?r=SearchResultsanswertab=votes#tab-top
74,cumall,Unclear usage of any_vars and all_vars predicates when filtering rows over multiples columns using negative str_detect,Why does dplyr filter_all using all_vars > 0 work on a character string?,Filter dataframe: extract rows with only one column that meets condition,https://stackoverflow.com/questions/71299458/grouped-violin-plot-with-two-chosen-colors?r=SearchResultsanswertab=votes#tab-top,https://stackexchange.com/questions?tab=hotanswertab=votes#tab-top,https://stackoverflow.com/questions/57007368/compute-new-variables-and-use-those-variables-to-compute-other-variables?r=SearchResultsanswertab=votes#tab-top
75,cumany,Unclear usage of any_vars and all_vars predicates when filtering rows over multiples columns using negative str_detect,Translating filter_all(any_vars()) to filter(across()),Filter_all(any_vars()) Where am I going wrong?,https://stackoverflow.com/questions/67122774/compute-decision-boundaries?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/72243792/compute-with-r-commands?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/56867727/r-tbl-collect-is-slow-sometimes?r=SearchResultsanswertab=votes#tab-top
76,cummean,R: Ordering specific vars in dataframe,VAR function in vars package of R,Estimation residuals from VAR estimation (vars package),https://stackoverflow.com/questions/59325827/collect-text-from-google-slides?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/31802651/to-collect-dataframes-in-sparkr?r=SearchResultsanswertab=votes#tab-top,https://stackoverflow.com/questions/22756372/collapse-text-by-group-in-data-frame?r=SearchResultsanswertab=votes#tab-top
